code	rom	region	title	front_url	back_url	cart_url	reference_url	reference_image_url
NO7E	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/007 - The World Is Not Enough (USA).z64	USA	007: The World Is Not Enough	https://gamefaqs.gamespot.com/a/box/1/5/2/8152_front.jpg	https://gamefaqs.gamespot.com/a/box/1/5/2/8152_back.jpg		http://www.gamefaqs.com/n64/914163-007-the-world-is-not-enough	http://www.gamefaqs.com/n64/914163-007-the-world-is-not-enough/images/box-49930
NERE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/AeroFighters Assault (USA).z64	USA	AeroFighters Assault	https://gamefaqs.gamespot.com/a/box/3/7/1/1371_front.jpg	https://gamefaqs.gamespot.com/a/box/3/7/1/1371_back.jpg		http://www.gamefaqs.com/n64/196549-aero-fighters-assault	http://www.gamefaqs.com/n64/196549-aero-fighters-assault/images/box-41660
NAGE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/AeroGauge (USA).z64	USA	AeroGauge	https://gamefaqs.gamespot.com/a/box/3/7/4/1374_front.jpg	https://gamefaqs.gamespot.com/a/box/3/7/4/1374_back.jpg		http://www.gamefaqs.com/n64/196550-aerogauge	http://www.gamefaqs.com/n64/196550-aerogauge/images/box-41661
NAYE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Aidyn Chronicles - The First Mage (USA) (Rev 1).z64	USA	Aidyn Chronicles: The First Mage	https://gamefaqs.gamespot.com/a/box/4/0/0/1400_front.jpg	https://gamefaqs.gamespot.com/a/box/4/0/0/1400_back.jpg		http://www.gamefaqs.com/n64/196565-aidyn-chronicles-the-first-mage	http://www.gamefaqs.com/n64/196565-aidyn-chronicles-the-first-mage/images/box-50157
NTNE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/All Star Tennis 99 (USA).z64	USA	All Star Tennis 99	https://gamefaqs.gamespot.com/a/box/4/7/0/1470_front.jpg	https://gamefaqs.gamespot.com/a/box/4/7/0/1470_back.jpg		http://www.gamefaqs.com/n64/196587-all-star-tennis-99	http://www.gamefaqs.com/n64/196587-all-star-tennis-99/images/box-50161
NBEE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/All-Star Baseball 2000 (USA).z64	USA	All-Star Baseball 2000	https://gamefaqs.gamespot.com/a/box/4/7/8/1478_front.jpg	https://gamefaqs.gamespot.com/a/box/4/7/8/1478_back.jpg		http://www.gamefaqs.com/n64/196592-all-star-baseball-2000	http://www.gamefaqs.com/n64/196592-all-star-baseball-2000/images/box-50163
NASE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/All-Star Baseball 2001 (USA).z64	USA	All-Star Baseball 2001	https://gamefaqs.gamespot.com/a/box/2/2/7/9227_front.jpg	https://gamefaqs.gamespot.com/a/box/2/2/7/9227_back.jpg		http://www.gamefaqs.com/n64/250563-all-star-baseball-2001	http://www.gamefaqs.com/n64/250563-all-star-baseball-2001/images/box-50571
NBSE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/All-Star Baseball 99 (USA).z64	USA	All-Star Baseball 99	https://gamefaqs.gamespot.com/a/box/4/6/6/1466_front.jpg	https://gamefaqs.gamespot.com/a/box/4/6/6/1466_back.jpg		http://www.gamefaqs.com/n64/196585-all-star-baseball-99	http://www.gamefaqs.com/n64/196585-all-star-baseball-99/images/box-41680
NARE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Armorines - Project S.W.A.R.M. (USA).z64	USA	Armorines: Project S.W.A.R.M.	https://gamefaqs.gamespot.com/a/box/6/1/1/1611_front.jpg	https://gamefaqs.gamespot.com/a/box/6/1/1/1611_back.jpg		http://www.gamefaqs.com/n64/196641-armorines-project-swarm	http://www.gamefaqs.com/n64/196641-armorines-project-swarm/images/box-50176
NACE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Army Men - Air Combat (USA).z64	USA	Army Men: Air Combat	https://gamefaqs.gamespot.com/a/box/6/2/3/1623_front.jpg	https://gamefaqs.gamespot.com/a/box/6/2/3/1623_back.jpg		http://www.gamefaqs.com/n64/196647-army-men-air-combat	http://www.gamefaqs.com/n64/196647-army-men-air-combat/images/box-41715
NAME	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Army Men - Sarge's Heroes (USA).z64	USA	Army Men: Sarge's Heroes	https://gamefaqs.gamespot.com/a/box/6/3/0/1630_front.jpg	https://gamefaqs.gamespot.com/a/box/6/3/0/1630_back.jpg		http://www.gamefaqs.com/n64/196649-army-men-sarges-heroes	http://www.gamefaqs.com/n64/196649-army-men-sarges-heroes/images/box-41716
N32E	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Army Men - Sarge's Heroes 2 (USA).z64	USA	Army Men: Sarge's Heroes 2	https://gamefaqs.gamespot.com/a/box/6/5/8/10658_front.jpg	https://gamefaqs.gamespot.com/a/box/6/5/8/10658_back.jpg		http://www.gamefaqs.com/n64/340233-army-men-sarges-heroes-2	http://www.gamefaqs.com/n64/340233-army-men-sarges-heroes-2/images/box-43544
NAHE	/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Asteroids Hyper 64 (USA).z64	USA	Asteroids Hyper 64	https://gamefaqs.gamespot.com/a/box/6/5/1/1651_front.jpg	https://gamefaqs.gamespot.com/a/box/6/5/1/1651_back.jpg		http://www.gamefaqs.com/n64/196661-asteroids-hyper-64	http://www.gamefaqs.com/n64/196661-asteroids-hyper-64/images/box-41724
