code,game,rom_path,metadata_dir,metadata_ini,name,author,developer,genre,release_year,release_date,short_desc,description_txt,players,esrb_age_rating,age_rating,boxart_front,boxart_back,gamepak_front
CDZJ,Dezaemon 3D (Japan),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Dezaemon 3D (Japan).z64,metadata/personal/C/D/Z/J,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
CFZE,F-Zero X (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/F-Zero X (USA).z64,metadata/personal/C/F/Z/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
CLBE,Mario Party (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Mario Party (USA).z64,metadata/personal/C/L/B/E,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
CZLE,"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Legend of Zelda, The - Ocarina of Time (USA) (Rev 2).z64",metadata/personal/C/Z/L/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N22E,Ready 2 Rumble Boxing - Round 2 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Ready 2 Rumble Boxing - Round 2 (USA).z64,metadata/personal/N/2/2/E,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
N2PE,Rampage 2 - Universal Tour (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Rampage 2 - Universal Tour (USA).z64,metadata/personal/N/2/P/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N2VE,Chameleon Twist 2 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Chameleon Twist 2 (USA).z64,metadata/personal/N/2/V/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N32E,Army Men - Sarge's Heroes 2 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Army Men - Sarge's Heroes 2 (USA).z64,metadata/personal/N/3/2/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N3DJ,Doraemon 3 - Nobita no Machi SOS! (Japan),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Doraemon 3 - Nobita no Machi SOS! (Japan).z64,metadata/personal/N/3/D/J,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
N3HE,International Track & Field 2000 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/International Track & Field 2000 (USA).z64,metadata/personal/N/3/H/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N3HJ,Ganbare! Nippon! Olympics 2000 (Japan),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Ganbare! Nippon! Olympics 2000 (Japan).z64,metadata/personal/N/3/H/J,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
N3HP,"International Track & Field - Summer Games (Europe) (En,Fr,De)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/International Track & Field - Summer Games (Europe) (En,Fr,De).z64",metadata/personal/N/3/H/P,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
N3PE,Triple Play 2000 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Triple Play 2000 (USA).z64,metadata/personal/N/3/P/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N3TE,Tony Hawk's Pro Skater 3 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Tony Hawk's Pro Skater 3 (USA).z64,metadata/personal/N/3/T/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N7IE,"FIFA Soccer 64 (USA) (En,Fr,De)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/FIFA Soccer 64 (USA) (En,Fr,De).z64",metadata/personal/N/7/I/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N8ME,Madden Football 64 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Madden Football 64 (USA).z64,metadata/personal/N/8/M/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N8WE,"World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da).z64",metadata/personal/N/8/W/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N9BE,"NBA Live 99 (USA) (En,Fr,De,Es,It)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/NBA Live 99 (USA) (En,Fr,De,Es,It).z64",metadata/personal/N/9/B/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
N9CE,NASCAR 99 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/NASCAR 99 (USA).z64,metadata/personal/N/9/C/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N9FE,"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv).z64",metadata/personal/N/9/F/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
N9HE,NHL 99 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/NHL 99 (USA).z64,metadata/personal/N/9/H/E,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
NA2J,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Virtual Pro Wrestling 2 - Oudou Keishou (Japan).z64,metadata/personal/N/A/2/J,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0
NABP,Airboarder 64 (Europe),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Airboarder 64 (Europe).z64,metadata/personal/N/A/B/P,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1
NACE,Army Men - Air Combat (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Army Men - Air Combat (USA).z64,metadata/personal/N/A/C/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
NADE,"Worms Armageddon (USA) (En,Fr,Es)","/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Worms Armageddon (USA) (En,Fr,Es).z64",metadata/personal/N/A/D/E,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
NAFJ,Doubutsu no Mori (Japan),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Doubutsu no Mori (Japan).z64,metadata/personal/N/A/F/J,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
NAGE,AeroGauge (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/AeroGauge (USA).z64,metadata/personal/N/A/G/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
NAHE,Asteroids Hyper 64 (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Asteroids Hyper 64 (USA).z64,metadata/personal/N/A/H/E,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
NALE,Super Smash Bros. (USA),/mnt/b/emulation/roms/nintendo_n64/00 Clean Romset/Super Smash Bros. (USA).z64,metadata/personal/N/A/L/E,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
