playlist,entries,found,missing,smart_rules,status,sample_missing
playlists/personal/By Year/00 All Years.m3u,606,25,581,0,partial,"../../N64 - Aftermarket/Smash_Remix_2.0.0.z64 | ../../N64 - EU/007 - The World Is Not Enough (Europe) (En,Fr,De).n64 | ../../N64 - EU/1080 TenEighty Snowboarding (Europe) (En,Ja,Fr,De).n64 | ../../N64 - EU/AeroFighters Assault (Europe) (En,Fr,De).n64 | ../../N64 - EU/AeroGauge (Europe) (En,Fr,De).n64 | ../../N64 - EU/Aidyn Chronicles - The First Mage (Europe).n64 | ../../N64 - EU/Air Boarder 64 (Europe).n64 | ../../N64 - EU/All Star Tennis '99 (Europe) (En,Fr,De,Es,It).n64 | ../../N64 - EU/All-Star Baseball 2000 (Europe).n64 | ../../N64 - EU/All-Star Baseball 99 (Europe).n64"
playlists/personal/By Year/1995.m3u,0,0,0,0,ok,
playlists/personal/By Year/1996.m3u,20,0,20,0,all-broken,"../../N64 - EU/Cruis'n USA (Europe).n64 | ../../N64 - USA/Cruis'n USA (USA).z64 | ../../N64 - JP/Jikkyou J.League Perfect Striker (Japan).z64 | ../../N64 - EU/Killer Instinct Gold (Europe).n64 | ../../N64 - USA/Killer Instinct Gold (USA).z64 | ../../N64 - JP/Mahjong Master (J) [!].v64 | ../../N64 - EU/Mortal Kombat Trilogy (Europe).n64 | ../../N64 - USA/Mortal Kombat Trilogy (USA).n64 | ../../N64 - EU/Pilotwings 64 (Europe) (En,Fr,De).n64 | ../../N64 - JP/Pilotwings 64 (Japan).z64"
playlists/personal/By Year/1997.m3u,83,2,81,0,partial,"../../N64 - USA/007 - GoldenEye.v64 | ../../N64 - JP/64 Oozumou (Japan).z64 | ../../N64 - USA/Aerofighter's Assault (U) [!].z64 | ../../N64 - EU/AeroFighters Assault (Europe) (En,Fr,De).n64 | ../../N64 - EU/Automobili Lamborghini (Europe).n64 | ../../N64 - USA/Automobili Lamborghini (USA).n64 | ../../N64 - EU/Blast Corps (Europe) (En,De).n64 | ../../N64 - USA/Blast Corps (USA).n64 | ../../N64 - JP/Blast Dozer (J) [!].v64 | ../../N64 - EU/Bomberman 64 (Europe).n64"
playlists/personal/By Year/1998.m3u,163,9,154,0,partial,"../../N64 - EU/1080 TenEighty Snowboarding (Europe) (En,Ja,Fr,De).n64 | ../../N64 - JP/64 Trump Collection - Alice no Wakuwaku Trump World (Japan).z64 | ../../N64 - EU/AeroGauge (Europe) (En,Fr,De).n64 | ../../N64 - JP/AeroGauge (Japan) (Rev 1).z64 | ../../N64 - USA/AeroGauge (USA).n64 | ../../N64 - EU/Air Boarder 64 (Europe).n64 | ../../N64 - JP/Akumajou Dracula Mokushiroku - Real Action Adventure (Japan).z64 | ../../N64 - EU/All-Star Baseball 99 (Europe).n64 | ../../N64 - JP/Bakushou Jinsei 64 - Mezase! Resort Ou (Japan).z64 | ../../N64 - EU/Banjo-Kazooie (Europe) (En,Fr,De).n64"
playlists/personal/By Year/1999.m3u,189,7,182,0,partial,"../../N64 - USA/A Bug's Life (U) [!].v64 | ../../N64 - JP/Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan).z64 | ../../N64 - EU/All Star Tennis '99 (Europe) (En,Fr,De,Es,It).n64 | ../../N64 - EU/All-Star Baseball 2000 (Europe).n64 | ../../N64 - USA/All-Star Baseball 2000 (USA).n64 | ../../N64 - EU/Armorines - Project S.W.A.R.M. (Europe).n64 | ../../N64 - EU/Army Men - Sarge's Heroes (Europe) (En,Fr,De).n64 | ../../N64 - USA/Army Men - Sarge's Heroes (USA).n64 | ../../N64 - EU/Bass Hunter 64 (E) [!].v64 | ../../N64 - USA/Bassmasters 2000 (USA).n64"
playlists/personal/By Year/2000.m3u,123,6,117,0,partial,"../../N64 - EU/007 - The World Is Not Enough (Europe) (En,Fr,De).n64 | ../../N64 - USA/All-Star Baseball 2001 (USA).n64 | ../../N64 - USA/Army Men - Air Combat (USA).n64 | ../../N64 - USA/Banjo-Tooie (USA).n64 | ../../N64 - JP/Bass Rush - ECOGEAR PowerWorm Championship (Japan).z64 | ../../N64 - USA/Batman Beyond - Return of the Joker (USA).n64 | ../../N64 - EU/Batman of the Future - Return of the Joker (Europe) (En,Fr,De).n64 | ../../N64 - USA/Battlezone - Rise of the Black Dogs (USA).n64 | ../../N64 - USA/Beast Wars Transmetal (U) [!].z64 | ../../N64 - USA/Big Mountain 2000 (USA).n64"
playlists/personal/By Year/2001.m3u,27,1,26,0,partial,"../../N64 - EU/Aidyn Chronicles - The First Mage (Europe).n64 | ../../N64 - USA/Aidyn Chronicles - The First Mage (USA).n64 | ../../N64 - EU/Banjo-Tooie (Europe) (En,Fr,De,Es).n64 | ../../N64 - EU/Conker's Bad Fur Day (Europe).n64 | ../../N64 - JP/Derby Stallion 64 (J) [!].v64 | ../../N64 - USA/Dr. Mario 64 (USA).n64 | ../../N64 - JP/Hamster Monogatari 64 (Japan).z64 | ../../N64 - USA/Madden NFL 2002 (USA).n64 | ../../N64 - EU/Mario Party 3 (Europe) (En,Fr,De,Es).n64 | ../../N64 - JP/Mario Party 3 (Japan).z64"
playlists/personal/By Year/2002.m3u,1,0,1,0,all-broken,../../N64 - USA/Tony Hawk's Pro Skater 3 (U).z64
playlists/personal/Custom/Arcade Quick Hits.m3u,11,1,10,0,partial,sd:/N64 - USA/Star Fox 64 (U) [!].z64 | sd:/N64 - USA/San Francisco Rush 2049 (USA).n64 | sd:/N64 - USA/RR64 - Ridge Racer 64 (USA).n64 | sd:/N64 - USA/Robotron 64 (USA).n64 | sd:/N64 - USA/Rampage - World Tour (USA).n64 | sd:/N64 - USA/Rampage 2 - Universal Tour (USA).n64 | sd:/N64 - USA/Bust-A-Move 2 - Arcade Edition (USA).n64 | sd:/N64 - USA/Space Invaders (U) [!].z64 | sd:/N64 - USA/Mischief Makers (USA).n64 | sd:/N64 - USA/Sin and Punishment - Successor of the Earth (U) [!].z64
